sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,server_epoch_ms
1708598105243,left,acc,-1.5538369417190552,5.214571475982666,8.063671112060547,1719962220859156500
1708598105244,left,acc,-1.5155296325683594,5.2265424728393555,8.008605003356934,1719962220876234500
1708598105245,left,acc,-1.6280571222305298,5.193023681640625,8.003816604614258,1719962220883759100
1708598105245,left,acc,-1.6280571222305298,5.12119722366333,8.04691219329834,1719962220889779800
1708598105245,left,acc,-1.5634137392044067,5.250484466552734,8.063671112060547,1719962220895734800
1708598105246,left,acc,-1.5825673341751099,5.195417881011963,8.224082946777344,1719962220903262500
1708598105246,left,acc,-1.5849615335464478,5.264849662780762,8.087613105773926,1719962220911349000
1708598105390,left,acc,-1.5059528350830078,5.178658485412598,8.037335395812988,1719962220916869600
1708598105391,left,acc,-1.4772224426269531,5.157110691070557,8.032546997070312,1719962220923391800
1708598105391,left,acc,-1.5466543436050415,5.2672438621521,8.099584579467773,1719962220932901000
1708598105392,left,acc,-1.6519991159439087,5.228936672210693,8.018181800842285,1719962220938421600
1708598105392,left,acc,-1.625662922859192,5.190629482269287,7.929595947265625,1719962220944482200
1708598105392,left,acc,-1.599326729774475,5.22175407409668,7.967903137207031,1719962220950504900
1708598105393,left,acc,-1.625662922859192,5.2480902671813965,8.001421928405762,1719962220956025500
1708598105437,left,acc,-1.479616641998291,5.233725070953369,7.987056732177734,1719962220962219300
1708598105438,left,acc,-1.5179238319396973,5.264849662780762,8.056488990783691,1719962220967737100
1708598105449,left,acc,-1.5682021379470825,5.2480902671813965,8.078036308288574,1719962220976161500
1708598105464,left,acc,-1.580173134803772,5.2480902671813965,7.939172744750977,1719962220983188800
1708598105483,left,acc,-1.6041151285171509,5.331887245178223,8.061277389526367,1719962220993379500
1708598105503,left,acc,-1.6424223184585571,5.231330871582031,7.9415669441223145,1719962220998899400
1708598105523,left,acc,-1.6831238269805908,5.30076265335083,7.987056732177734,1719962221005421200
1708598105542,left,acc,-1.5753847360610962,5.243301868438721,8.030152320861816,1719962221011457900
1708598105569,left,acc,-1.5873557329177856,5.2911858558654785,8.188169479370117,1719962221016476500
1708598105583,left,acc,-1.6376339197158813,5.243301868438721,8.111555099487305,1719962221024613300
1708598105605,left,acc,-1.6041151285171509,5.243301868438721,8.123526573181152,1719962221032640500
1708598105623,left,acc,-1.4915876388549805,5.183446884155273,8.054094314575195,1719962221038160700
1708598105643,left,acc,-1.5729905366897583,5.2049946784973145,8.022970199584961,1719962221044183500
1708598105664,left,acc,-1.53707754611969,5.30076265335083,8.063671112060547,1719962221053714800
1708598105683,left,acc,-1.5682021379470825,5.319916248321533,8.106766700744629,1719962221055894600
1708598105703,left,acc,-1.5849615335464478,5.216965675354004,7.951143741607666,1719962221070935200
1708598105723,left,acc,-1.6160861253738403,5.171475887298584,8.061277389526367,1719962221070935200
1708598105743,left,acc,-1.644816517829895,5.185841083526611,8.02536392211914,1719962221070935200
1708598105764,left,acc,-1.6208745241165161,5.281609058380127,8.068459510803223,1719962221086613400
1708598105783,left,acc,-1.6089035272598267,5.284003257751465,7.955932140350342,1719962221086613400
1708598105804,left,acc,-1.5658079385757446,5.329493045806885,8.097189903259277,1719962221102236600
1708598105823,left,acc,-1.6543933153152466,5.173870086669922,7.936778545379639,1719962221102236600
1708598105843,left,acc,-1.6735470294952393,5.240907669067383,7.898471355438232,1719962221102236600
1708598105865,left,acc,-1.6687586307525635,5.231330871582031,7.903259754180908,1719962221117854900
1708598105884,left,acc,-1.5945383310317993,5.228936672210693,7.994239330291748,1719962221117854900
1708598105904,left,acc,-1.5275006294250488,5.279214859008789,8.212111473083496,1719962221133487700
1708598105924,left,acc,-1.577778935432434,5.233725070953369,8.058882713317871,1719962221133487700
1708598105944,left,acc,-1.5514427423477173,5.288791656494141,8.24084186553955,1719962221133487700
1708598105965,left,acc,-1.6352397203445435,5.149928092956543,7.996633529663086,1719962221149105200
1708598105985,left,acc,-1.6496049165725708,5.274426460266113,8.061277389526367,1719962221149105200
1708598106004,left,acc,-1.6424223184585571,5.236119270324707,7.91283655166626,1719962221164737800
1708598106024,left,acc,-1.6304513216018677,5.200206279754639,8.070854187011719,1719962221164737800
1708598106044,left,acc,-1.5298948287963867,5.236119270324707,7.951143741607666,1719962221180361000
1708598106065,left,acc,-1.5753847360610962,5.197812080383301,7.879317760467529,1719962221180361000
1708598106084,left,acc,-1.6136919260025024,5.20978307723999,7.960720539093018,1719962221195986000
1708598106104,left,acc,-1.6352397203445435,5.169081687927246,8.08282470703125,1719962221211617900
1708598106124,left,acc,-1.6496049165725708,5.238513469696045,8.044517517089844,1719962221211617900
1708598106144,left,acc,-1.5705963373184204,5.298368453979492,8.092401504516602,1719962221227235200
1708598106166,left,acc,-1.4844050407409668,5.216965675354004,7.95832633972168,1719962221227235200
1708598106184,left,acc,-1.5203180313110352,5.274426460266113,8.034940719604492,1719962221242854300
1708598106205,left,acc,-1.6400281190872192,5.231330871582031,8.159439086914062,1719962221242854300
1708598106225,left,acc,-1.558625340461731,5.216965675354004,8.176198959350586,1719962221258484200
1708598106245,left,acc,-1.659181833267212,5.200206279754639,8.02536392211914,1719962221258484200
1708598106266,left,acc,-1.6184803247451782,5.238513469696045,8.10437297821045,1719962221282384600
1708598106285,left,acc,-1.6136919260025024,5.1595048904418945,7.994239330291748,1719962221293932100
1708598106305,left,acc,-1.6065093278884888,5.2911858558654785,8.166622161865234,1719962221301965300
1708598106325,left,acc,-1.5945383310317993,5.2049946784973145,7.977479934692383,1719962221307652900
1708598106346,left,acc,-1.4173674583435059,5.214571475982666,8.030152320861816,1719962221320700300
1708598106366,left,acc,-1.534683346748352,5.17626428604126,7.982268333435059,1719962221320700300
1708598106385,left,acc,-1.5298948287963867,5.1331682205200195,7.91283655166626,1719962221336404400
1708598106407,left,acc,-1.5945383310317993,5.219359874725342,8.01339340209961,1719962221353842600
1708598106426,left,acc,-1.7190368175506592,5.2049946784973145,7.922413349151611,1719962221357303000
1708598106446,left,acc,-1.7693150043487549,5.260061264038086,7.977479934692383,1719962221373735600
1708598106467,left,acc,-1.656787633895874,5.260061264038086,8.068459510803223,1719962221373735600
1708598106486,left,acc,-1.6089035272598267,5.178658485412598,7.982268333435059,1719962221390516500
1708598106506,left,acc,-1.5083470344543457,5.2480902671813965,8.030152320861816,1719962221440743500
1708598106526,left,acc,-1.558625340461731,5.293580055236816,8.037335395812988,1719962221457137700
1708598106546,left,acc,-1.5945383310317993,5.17626428604126,8.070854187011719,1719962221457137700
1708598106568,left,acc,-1.6639702320098877,5.140350818634033,8.022970199584961,1719962221473771100
1708598106586,left,acc,-1.625662922859192,5.236119270324707,8.061277389526367,1719962221490976600
1708598106606,left,acc,-1.6424223184585571,5.173870086669922,8.044517517089844,1719962221509046400
1708598106626,left,acc,-1.623268723487854,5.250484466552734,8.027758598327637,1719962221516578100
1708598106648,left,acc,-1.599326729774475,5.2672438621521,8.015787124633789,1719962221524655000
1708598106667,left,acc,-1.5490485429763794,5.1595048904418945,8.02536392211914,1719962221534286400
1708598106687,left,acc,-1.5394717454910278,5.20978307723999,8.001421928405762,1719962221543837100
1708598106706,left,acc,-1.6089035272598267,5.252878665924072,8.030152320861816,1719962221553934100
1708598106726,left,acc,-1.5969325304031372,5.2480902671813965,7.9415669441223145,1719962221562075800
1708598106746,left,acc,-1.6400281190872192,5.25527286529541,7.915230751037598,1719962221569607100
1708598106768,left,acc,-1.6280571222305298,5.202600479125977,7.86734676361084,1719962221579219600
1708598106787,left,acc,-1.6519991159439087,5.22175407409668,7.833827972412109,1719962221589260900
1708598106807,left,acc,-1.6831238269805908,5.142745018005371,8.003816604614258,1719962221598870500
1708598106827,left,acc,-1.5442601442337036,5.243301868438721,8.188169479370117,1719962221606477100
1708598106847,left,acc,-1.482010841369629,5.3342814445495605,8.312667846679688,1719962221614583100
1708598106868,left,acc,-1.5203180313110352,5.102043628692627,7.939172744750977,1719962221624213800
1708598106887,left,acc,-1.4628572463989258,5.260061264038086,8.092401504516602,1719962221631745200
1708598106907,left,acc,-1.6136919260025024,5.260061264038086,8.003816604614258,1719962221640162900
1708598106927,left,acc,-1.5753847360610962,5.212177276611328,7.905653953552246,1719962221649417200
1708598106947,left,acc,-1.6041151285171509,5.2265424728393555,8.08043098449707,1719962221657043300
1708598106968,left,acc,-1.5610195398330688,5.281609058380127,7.843404769897461,1719962221665093400
1708598106987,left,acc,-1.6496049165725708,5.257667064666748,7.94635534286499,1719962221674654200
1708598107008,left,acc,-1.6328455209732056,5.1810526847839355,7.86734676361084,1719962221684695100
1708598107027,left,acc,-1.656787633895874,5.331887245178223,8.101978302001953,1719962221694878400
1708598107048,left,acc,-1.659181833267212,5.2265424728393555,8.056488990783691,1719962221704131800
1708598107069,left,acc,-1.702277421951294,5.497087001800537,7.723694801330566,1719962221716006000
1708598107095,left,acc,-1.6735470294952393,5.463568210601807,7.977479934692383,1719962221723666200
1708598107108,left,acc,-1.6208745241165161,5.523423194885254,8.17380428314209,1719962221733206100
1708598107129,left,acc,-1.5131354331970215,5.044582843780518,8.008605003356934,1719962221741362600
1708598107149,left,acc,-1.5969325304031372,5.2672438621521,7.972691535949707,1719962221751403300
1708598107169,left,acc,-1.6879122257232666,5.22175407409668,8.166622161865234,1719962221761025100
1708598107188,left,acc,-1.6328455209732056,4.965574264526367,8.034940719604492,1719962221768555900
1708598107209,left,acc,-1.5705963373184204,5.080495834350586,8.030152320861816,1719962221778699200
1708598107228,left,acc,-1.7597382068634033,5.726930618286133,7.73087739944458,1719962221786230100
1708598107248,left,acc,-1.7477672100067139,5.281609058380127,7.841010570526123,1719962221796377400
1708598107269,left,acc,-1.4915876388549805,5.149928092956543,8.233659744262695,1719962221805916700
1708598107289,left,acc,-1.501164436340332,5.386953830718994,7.972691535949707,1719962221813572100
1708598107309,left,acc,-1.5155296325683594,5.252878665924072,7.996633529663086,1719962221821102800
1708598107329,left,acc,-1.5897499322891235,5.245696067810059,8.08282470703125,1719962221831714400
1708598107349,left,acc,-1.6639702320098877,5.3342814445495605,8.006210327148438,1719962221840375500
1708598107370,left,acc,-1.7046716213226318,5.310339450836182,8.070854187011719,1719962221840375500
1708598107389,left,acc,-1.7070658206939697,5.224148273468018,7.953537940979004,1719962221856927800
1708598107409,left,acc,-1.577778935432434,5.240907669067383,8.200140953063965,1719962221857113200
1708598107429,left,acc,-1.5155296325683594,5.307945251464844,7.975085735321045,1719962221873762600
1708598107449,left,acc,-1.522712230682373,5.25527286529541,8.135497093200684,1719962221873762600
1708598107470,left,acc,-1.5705963373184204,5.17626428604126,7.905653953552246,1719962221890477800
1708598107489,left,acc,-1.6879122257232666,5.286397457122803,7.994239330291748,1719962221890477800
1708598107509,left,acc,-1.6089035272598267,5.262455463409424,7.989450931549072,1719962221907140300
1708598107529,left,acc,-1.6280571222305298,5.30076265335083,7.960720539093018,1719962221922815800
1708598107549,left,acc,-1.5298948287963867,5.212177276611328,8.003816604614258,1719962221923768300
1708598107570,left,acc,-1.522712230682373,5.351040840148926,8.003816604614258,1719962221923768300
1708598107589,left,acc,-1.5490485429763794,5.274426460266113,7.939172744750977,1719962221940440900
1708598107610,left,acc,-1.6639702320098877,5.260061264038086,7.977479934692383,1719962221957198200
1708598107629,left,acc,-1.6950948238372803,5.286397457122803,7.939172744750977,1719962221957198200
1708598107650,left,acc,-1.6424223184585571,5.2672438621521,7.936778545379639,1719962221973787400
1708598107672,left,acc,-1.6759412288665771,5.260061264038086,7.95832633972168,1719962221973787400
1708598107690,left,acc,-1.601720929145813,5.25527286529541,8.030152320861816,1719962221990441900
1708598107710,left,acc,-1.534683346748352,5.3582234382629395,8.142680168151855,1719962221990441900
1708598107730,left,acc,-1.5275006294250488,5.169081687927246,8.092401504516602,1719962222007097000
1708598107750,left,acc,-1.6376339197158813,5.252878665924072,8.066065788269043,1719962222023923600
1708598107771,left,acc,-1.702277421951294,5.2696380615234375,7.982268333435059,1719962222023923600
1708598107790,left,acc,-2.011129379272461,5.5114521980285645,7.891288757324219,1719962222040541600
1708598107811,left,acc,-1.6663644313812256,5.214571475982666,7.869740962982178,1719962222062237500
1708598107831,left,acc,-1.6208745241165161,5.315127849578857,7.757213592529297,1719962222074579900
1708598107852,left,acc,-1.5705963373184204,5.535394191741943,7.881711959838867,1719962222079656500
1708598107873,left,acc,-1.256955862045288,5.145139217376709,8.11634349822998,1719962222092376100
1708598107892,left,acc,-1.5825673341751099,5.432443618774414,7.908048152923584,1719962222107678500
1708598107912,left,acc,-1.6615760326385498,5.243301868438721,7.8960771560668945,1719962222107678500
1708598107931,left,acc,-1.8076223134994507,5.286397457122803,7.898471355438232,1719962222124256900
1708598107951,left,acc,-1.7381904125213623,5.442020416259766,7.9631147384643555,1719962222124256900
1708598107972,left,acc,-1.6711528301239014,5.236119270324707,7.862558364868164,1719962222141810000
1708598107991,left,acc,-1.6615760326385498,5.252878665924072,7.979874134063721,1719962222157123200
1708598108011,left,acc,-1.7836803197860718,5.398924827575684,8.070854187011719,1719962222165227700
1708598108033,left,acc,-1.5921441316604614,5.085284233093262,8.066065788269043,1719962222174737100
1708598108051,left,acc,-1.4317326545715332,4.999093055725098,8.056488990783691,1719962222182701200
1708598108072,left,acc,-1.6639702320098877,5.317522048950195,7.977479934692383,1719962222189701600
1708598108092,left,acc,-1.7166426181793213,5.377377033233643,7.951143741607666,1719962222190701300
1708598108112,left,acc,-1.702277421951294,5.12119722366333,7.920019149780273,1719962222206411800
1708598108133,left,acc,-1.699883222579956,5.1810526847839355,8.044517517089844,1719962222206411800
1708598108151,left,acc,-1.7286136150360107,5.57370138168335,7.85537576675415,1719962222222031400
1708598108173,left,acc,-1.8052281141281128,5.322310447692871,7.898471355438232,1719962222237699400
1708598108192,left,acc,-1.5897499322891235,5.214571475982666,8.08282470703125,1719962222237699400
1708598108212,left,acc,-1.623268723487854,5.25527286529541,7.9846625328063965,1719962222253324700
1708598108232,left,acc,-1.7310078144073486,5.274426460266113,7.955932140350342,1719962222253324700
1708598108252,left,acc,-1.6304513216018677,5.252878665924072,7.8529815673828125,1719962222268941600
1708598108273,left,acc,-1.659181833267212,5.305551052093506,7.927201747894287,1719962222268941600
1708598108292,left,acc,-1.6160861253738403,5.276820659637451,8.022970199584961,1719962222294041600
1708598108313,left,acc,-1.6160861253738403,5.2049946784973145,7.929595947265625,1719962222303599100
1708598108333,left,acc,-1.6687586307525635,5.252878665924072,7.9631147384643555,1719962222315671300
1708598108353,left,acc,-1.7190368175506592,5.200206279754639,8.135497093200684,1719962222331390200
1708598108374,left,acc,-1.6974890232086182,5.20978307723999,8.044517517089844,1719962222331390200
1708598108393,left,acc,-1.7046716213226318,5.343858242034912,8.238448143005371,1719962222347056500
1708598108413,left,acc,-1.6400281190872192,5.252878665924072,7.833827972412109,1719962222347056500
1708598108433,left,acc,-1.623268723487854,5.3127336502075195,7.908048152923584,1719962222362689600
1708598108453,left,acc,-1.5729905366897583,5.157110691070557,7.91283655166626,1719962222362689600
1708598108474,left,acc,-1.6304513216018677,5.200206279754639,8.015787124633789,1719962222378269700
1708598108493,left,acc,-1.5466543436050415,5.243301868438721,8.066065788269043,1719962222378269700
1708598108512,left,acc,-1.5729905366897583,5.331887245178223,7.9415669441223145,1719962222393935500
1708598108533,left,acc,-1.778891921043396,5.341464042663574,7.936778545379639,1719962222409566400
1708598108553,left,acc,-1.7693150043487549,5.200206279754639,7.979874134063721,1719962222409566400
1708598108574,left,acc,-1.8842366933822632,4.975151062011719,7.072471618652344,1719962222425187100
1708598108597,left,acc,-1.2449848651885986,5.135562419891357,8.425195693969727,1719962222425187100
1708598108613,left,acc,-1.1659762859344482,4.955997467041016,8.595184326171875,1719962222440819700
1708598108633,left,acc,-1.4077905416488647,6.3063273429870605,8.109161376953125,1719962222440819700
1708598108653,left,acc,-1.7860745191574097,6.574477672576904,7.362170219421387,1719962222456440500
1708598108674,left,acc,-1.4053963422775269,4.831499099731445,8.10437297821045,1719962222472059700
1708598108693,left,acc,-1.6831238269805908,5.566518783569336,8.236053466796875,1719962222472059700
1708598108714,left,acc,-1.455674648284912,5.231330871582031,7.836222171783447,1719962222491634300
1708598108734,left,acc,-1.3000515699386597,4.836287498474121,7.726089000701904,1719962222498851200
1708598108754,left,acc,-1.5059528350830078,5.2696380615234375,7.735665798187256,1719962222508890900
1708598108775,left,acc,-1.7549498081207275,5.1810526847839355,7.845798969268799,1719962222518931100
1708598108794,left,acc,-1.656787633895874,5.260061264038086,7.999027729034424,1719962222528469400
1708598108814,left,acc,-1.8339585065841675,5.480327606201172,8.042123794555664,1719962222542024500
1708598108835,left,acc,-1.5969325304031372,5.365406036376953,8.066065788269043,1719962222550056400
1708598108855,left,acc,-1.5969325304031372,5.329493045806885,8.027758598327637,1719962222559594000
1708598108876,left,acc,-1.5705963373184204,5.327098846435547,8.090007781982422,1719962222567626500
1708598108895,left,acc,-1.5298948287963867,5.30076265335083,8.01339340209961,1719962222577666100
1708598108915,left,acc,-1.5514427423477173,5.231330871582031,7.975085735321045,1719962222585195800
1708598108935,left,acc,-1.5729905366897583,5.288791656494141,8.015787124633789,1719962222594733400
1708598108955,left,acc,-1.5466543436050415,5.288791656494141,7.802703380584717,1719962222604773900
1708598108976,left,acc,-1.6879122257232666,5.228936672210693,7.953537940979004,1719962222615818400
1708598108995,left,acc,-1.6328455209732056,5.157110691070557,8.145073890686035,1719962222623850000
1708598109015,left,acc,-1.4245500564575195,5.3127336502075195,8.192957878112793,1719962222632015400
1708598109035,left,acc,-1.6065093278884888,5.228936672210693,8.403648376464844,1719962222639647500
1708598109056,left,acc,-1.460463047027588,5.228936672210693,8.092401504516602,1719962222647280800
1708598109076,left,acc,-1.580173134803772,5.475539207458496,8.01339340209961,1719962222655422900
1708598109095,left,acc,-1.4724340438842773,5.25527286529541,7.934384346008301,1719962222665600600
1708598109115,left,acc,-1.259350061416626,5.295974254608154,7.876923561096191,1719962222674759800
1708598109136,left,acc,-1.3407529592514038,5.114014625549316,7.936778545379639,1719962222727682600
1708598109156,left,acc,-1.5658079385757446,5.331887245178223,7.9631147384643555,1719962222735314900
1708598109177,left,acc,-1.4628572463989258,5.348646640777588,8.042123794555664,1719962222742947500
1708598109196,left,acc,-1.400607943534851,5.319916248321533,7.8745293617248535,1719962222755159600
1708598109215,left,acc,-1.2330138683319092,5.305551052093506,8.121131896972656,1719962222764835400
1708598109236,left,acc,-1.1779472827911377,5.061342239379883,7.675810813903809,1719962222775520600
1708598109256,left,acc,-0.6799532771110535,5.118803024291992,8.190564155578613,1719962222786212500
1708598109277,left,acc,-1.0103530883789062,5.035006046295166,8.492233276367188,1719962222795879600
