Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time,timestamp
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378495913500
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378519958900
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378540643500
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378564835000
-1,25.48,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378589848500
-1,25.48,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378614061500
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378638637700
-1,25.48,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378663674600
-1,25.48,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378687694800
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378708798800
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378733703100
-1,25.48,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378757770100
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378782722300
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378807244800
-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378831763300
-1,24.66,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378851764200
-1,24.66,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378876764100
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378900762900
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378926002300
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378950000200
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378975001200
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412378995000300
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379020004400
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379044514500
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379069512000
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379093531500
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379118518300
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379143025800
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379163025400
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379187546300
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379212549800
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379237056400
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379261119400
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379286118700
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379307118300
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379331626700
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379355627600
-1,23.85,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379380628200
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379404645800
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379429144900
-1,24.05,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379450489500
-1,25.07,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412379474487400
