Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365321123700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365342168600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365362148600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365382150300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365402663800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365423670400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365443665300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365468699200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365488673500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365509268200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365530301200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365550304000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365571268400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365591270400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365611892200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365631891600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365656891300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365677859400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365697862400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365718396500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365744396000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365759396000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365779396100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365800911500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365820922100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365844917800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365865920000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365885919300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365906443200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365927438700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365947474800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365968473900
