server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_atime,video_time,video_id,3d_camera_time,3d_camera_frame_id,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7
1720199364206922400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364208925100
1720199364240920900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
1720199364274923500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
1720199364309051200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
1720199364342580600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364317062800
1720199364376587900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
1720199364410107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364444105100,0,0,0,0,0,0,0,0,0,1720199364415106600,./Data/trakt_Strakt_T1_2024-07-05/imgs/2_1720199364415106600.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364425108100
1720199364478105000,0,0,0,0,0,0,0,0,0,1720199364447136100,./Data/trakt_Strakt_T1_2024-07-05/imgs/3_1720199364447136100.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364511637700,0,0,0,0,0,0,0,0,0,1720199364478105000,./Data/trakt_Strakt_T1_2024-07-05/imgs/4_1720199364478105000.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364545637100,0,0,0,0,0,0,0,0,0,1720199364507634400,./Data/trakt_Strakt_T1_2024-07-05/imgs/5_1720199364507634400.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364536640300
1720199364579635600,0,0,0,0,0,0,0,0,0,1720199364542672300,./Data/trakt_Strakt_T1_2024-07-05/imgs/6_1720199364542672300.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364613163800,0,0,0,0,0,0,0,0,0,1720199364572634500,./Data/trakt_Strakt_T1_2024-07-05/imgs/7_1720199364572634500.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364647164200,0,0,0,0,0,0,0,0,0,1720199364601161400,./Data/trakt_Strakt_T1_2024-07-05/imgs/8_1720199364601161400.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364646164200
1720199364681167300,0,0,0,0,0,0,0,0,0,1720199364632160600,./Data/trakt_Strakt_T1_2024-07-05/imgs/9_1720199364632160600.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
1720199364714706700,0,0,0,0,0,0,0,0,0,1720199364383584800,./Data/trakt_Strakt_T1_2024-07-05/imgs/1_1720199364383584800.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
1720199364748704200,0,0,0,0,0,0,0,0,0,1720199364665175100,./Data/trakt_Strakt_T1_2024-07-05/imgs/10_1720199364665175100.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
1720199364782706600,0,0,0,0,0,0,0,0,0,1720199364755704200,./Data/trakt_Strakt_T1_2024-07-05/imgs/12_1720199364755704200.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364755704200
1720199364816257500,0,0,0,0,0,0,0,0,0,1720199364784703500,./Data/trakt_Strakt_T1_2024-07-05/imgs/13_1720199364784703500.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
1720199364850257100,0,0,0,0,0,0,0,0,0,1720199364815257900,./Data/trakt_Strakt_T1_2024-07-05/imgs/14_1720199364815257900.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
1720199364884258300,0,0,0,0,0,0,0,0,0,1720199364844257000,./Data/trakt_Strakt_T1_2024-07-05/imgs/15_1720199364844257000.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364864256500
1720199364917804100,0,0,0,0,0,0,0,0,0,1720199364871257400,./Data/trakt_Strakt_T1_2024-07-05/imgs/16_1720199364871257400.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
1720199364951807500,0,0,0,0,0,0,0,0,0,1720199364899298900,./Data/trakt_Strakt_T1_2024-07-05/imgs/17_1720199364899298900.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
1720199364985816400,0,0,0,0,0,0,0,0,0,1720199364929803800,./Data/trakt_Strakt_T1_2024-07-05/imgs/18_1720199364929803800.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364973806200
1720199365019344200,0,0,0,0,0,0,0,0,0,1720199364962803800,./Data/trakt_Strakt_T1_2024-07-05/imgs/19_1720199364962803800.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
1720199365053357200,0,0,0,0,0,0,0,0,0,1720199364995812100,./Data/trakt_Strakt_T1_2024-07-05/imgs/20_1720199364995812100.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
1720199365087350100,0,0,0,0,0,0,0,0,0,1720199365062345000,./Data/trakt_Strakt_T1_2024-07-05/imgs/22_1720199365062345000.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365085344100
1720199365120865700,0,0,0,0,0,0,0,0,0,1720199365095349500,./Data/trakt_Strakt_T1_2024-07-05/imgs/23_1720199365095349500.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365111873900
1720199365154866700,0,0,0,0,0,0,0,0,0,1720199365128867000,./Data/trakt_Strakt_T1_2024-07-05/imgs/24_1720199365128867000.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365152866500
1720199365188912900,0,0,0,0,0,0,0,0,0,1720199365161867100,./Data/trakt_Strakt_T1_2024-07-05/imgs/25_1720199365161867100.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365173869100
1720199365222495700,0,0,0,0,0,0,0,0,0,1720199365194920100,./Data/trakt_Strakt_T1_2024-07-05/imgs/26_1720199365194920100.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365214501900
