sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
1721412423368,right,gyro,-0.05619960278272629,0.013439035043120384,0.05253441259264946,seq,4.0,1721412416441571500
1721412423369,right,acc,-1.8626888990402222,-9.421183586120605,2.3295583724975586,seq,5.0,1721412416508497800
1721412423369,right,gyro,-0.00733038317412138,0.015882495790719986,0.01466076634824276,seq,5.0,1721412416522502000
1721412423370,right,acc,-1.8842366933822632,-9.440337181091309,2.300827741622925,seq,6.0,1721412416530491000
1721412423370,right,gyro,0.0024434609804302454,0.01710422709584236,0.01466076634824276,seq,6.0,1721412416535454200
1721412423371,right,acc,-1.8579005002975464,-9.275136947631836,2.341529369354248,seq,7.0,1721412416553596600
1721412423372,right,gyro,0.004886921960860491,0.018325956538319588,0.012217304669320583,seq,7.0,1721412416565500400
1721412423372,right,acc,-1.8962076902389526,-9.387664794921875,2.3774423599243164,seq,8.0,1721412416579218100
1721412423373,right,gyro,0.0,0.01710422709584236,0.019547687843441963,seq,8.0,1721412416588229900
1721412423529,right,acc,-1.8842366933822632,-9.437943458557129,2.3319525718688965,seq,9.0,1721412416603228900
1721412423531,right,gyro,0.0012217304902151227,0.013439035043120384,0.012217304669320583,seq,9.0,1721412416649235300
1721412423532,right,acc,-1.8818424940109253,-9.346963882446289,2.3367409706115723,seq,10.0,1721412416681106600
1721412423533,right,gyro,-0.00366519158706069,0.015882495790719986,0.00855211354792118,seq,10.0,1721412416689093400
1721412423533,right,acc,-1.8363527059555054,-9.41639518737793,2.365471363067627,seq,11.0,1721412416700111100
1721412423534,right,gyro,-0.01466076634824276,0.019547687843441963,0.006108652334660292,seq,11.0,1721412416722108000
1721412423535,right,acc,-1.886630892753601,-9.50498104095459,2.2912509441375732,seq,12.0,1721412416735137700
1721412423535,right,gyro,0.0,0.019547687843441963,0.004886921960860491,seq,12.0,1721412416759346300
1721412423536,right,acc,-1.9129672050476074,-9.428366661071777,2.4372973442077637,seq,13.0,1721412416771379500
1721412423537,right,gyro,-0.00366519158706069,0.019547687843441963,0.012217304669320583,seq,13.0,1721412416777382800
1721412423537,right,acc,-1.8411411046981812,-9.442731857299805,2.360682964324951,seq,14.0,1721412416780398400
1721412423538,right,gyro,0.01710422709584236,0.02321287989616394,0.013439035043120384,seq,14.0,1721412416783677100
1721412423539,right,acc,-1.886630892753601,-9.433155059814453,2.3965959548950195,seq,15.0,1721412416787691800
