server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,video_time,video_id,3d_camera_time,3d_camera_frame_id,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7,pedal_1_pressed,pedal_2_pressed,pedal_3_pressed,pedal_4_pressed,pedal_5_pressed,pedal_6_pressed,pedal_7_pressed
1720460420981905200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731067,right,acc,0.2082955539226532,-0.11252748221158981,9.775525093078613,1669385661089,right,acc,0.035913024097681046,-0.07182604819536209,9.852140426635742,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421016573200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731088,right,gyro,0.0012217304902151227,0.0,-0.004886921960860491,1669385661131,right,acc,0.043095629662275314,-0.07900865375995636,9.787496566772461,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421011180600
1720460421050078300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731129,right,acc,0.23702596127986908,-0.035913024097681046,9.849745750427246,1669385661153,right,gyro,0.0,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421083827800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731170,right,acc,0.23942017555236816,-0.05506663769483566,9.787496566772461,1669385661189,right,acc,0.06224924325942993,-0.08140286058187485,9.806650161743164,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421117659200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731210,right,acc,0.2585737705230713,-0.14844051003456116,9.823410034179688,1669385661232,right,gyro,0.0012217304902151227,0.0012217304902151227,-0.0024434609804302454,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421151428100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731232,right,gyro,0.0024434609804302454,-0.0012217304902151227,-0.00366519158706069,1669385661272,right,acc,0.026336219161748886,-0.047884032130241394,9.761159896850586,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421119690900
1720460421185652900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731271,right,gyro,0.006108652334660292,-0.0024434609804302454,-0.004886921960860491,1669385661292,right,gyro,0.0,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421219532200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731312,right,gyro,0.004886921960860491,-0.0024434609804302454,-0.004886921960860491,1669385661331,right,acc,0.0071826050989329815,-0.014365210197865963,9.792284965515137,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420577457300
1720460421253331100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731350,right,acc,0.21547815203666687,-0.090979665517807,9.775525093078613,1669385661372,right,acc,0.043095629662275314,-0.09816227108240128,9.825803756713867,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421229151000
1720460421287382700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731390,right,acc,0.19871874153614044,-0.09816227108240128,9.715670585632324,1669385661393,right,gyro,0.00366519158706069,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420576455300
1720460421321387600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731412,right,gyro,0.00366519158706069,-0.0012217304902151227,-0.00366519158706069,1669385661433,right,gyro,0.0012217304902151227,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420576455300
1720460421355457900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731450,right,acc,0.17956513166427612,-0.10773907601833344,9.746794700622559,1669385661474,right,gyro,-0.0012217304902151227,0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421338422000
