sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,server_epoch_ms
1669049064059,right,acc,0.22026655077934265,-0.8954314589500427,9.821015357971191,1720123582431139100
1669049064099,right,acc,0.13407529890537262,-0.8355764150619507,9.806650161743164,1720123582438146500
1669049064120,right,acc,0.14604631066322327,-0.8619126081466675,9.749189376831055,1720123582445651900
1669049064159,right,acc,0.1388636976480484,-0.8667010068893433,9.801861763000488,1720123582453650800
1669049064221,right,acc,0.22505496442317963,-0.8619126081466675,9.737217903137207,1720123582459650500
1669049064260,right,acc,0.15562310814857483,-0.9169792532920837,9.806650161743164,1720123582466655800
1669049064299,right,acc,0.17238251864910126,-0.8236053586006165,9.768342971801758,1720123582478650200
1669049064341,right,acc,0.17956513166427612,-0.8355764150619507,9.75637149810791,1720123582486650600
1669049064382,right,acc,0.18914192914962769,-0.8643068075180054,9.787496566772461,1720123582495652000
1669049064418,right,acc,0.13168109953403473,-0.8355764150619507,9.792284965515137,1720123582503653900
1669049064461,right,acc,0.10295066982507706,-0.8954314589500427,9.81143856048584,1720123582521653900
1669049064482,right,acc,0.23702596127986908,-0.7924807667732239,9.832986831665039,1720123582533655700
1669049064541,right,acc,0.21308395266532898,-0.8451532125473022,9.792284965515137,1720123582543655800
1669049064582,right,acc,0.1628057211637497,-0.8523358106613159,9.81143856048584,1720123582550991300
1669049064620,right,acc,0.11252748221158981,-0.849941611289978,9.818621635437012,1720123582559990900
1669049064662,right,acc,0.16759411990642548,-0.8595184087753296,9.75397777557373,1720123582566992000
1669049064700,right,acc,0.1412578970193863,-0.8643068075180054,9.80904483795166,1720123582575991300
1669049064742,right,acc,0.17717093229293823,-0.9145850539207458,9.818621635437012,1720123582594991700
1669049064782,right,acc,0.09576806426048279,-0.8786720037460327,9.773131370544434,1720123582610994400
1669049064820,right,acc,0.11971008777618408,-0.9576807022094727,9.871294021606445,1720123582619993000
1669049064863,right,acc,0.1364694982767105,-0.849941611289978,9.78989028930664,1720123582630999200
