wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,-0.0195476878434419,-0.0280998013913631,-0.1026253625750541,seq,5.0,1721412422350968700
left,0.0354301854968071,0.0073303831741213,-0.0769690200686454,seq,6.0,1721412422355954000
left,0.0036651915870606,0.0048869219608604,-0.1014036312699318,seq,7.0,1721412422368995800
left,-0.0256563406437635,-0.0109955742955207,-0.0928515195846557,seq,8.0,1721412422391503100
left,0.0317649915814399,0.0085521135479211,-0.0965167060494422,seq,9.0,1721412422417513900
left,0.0610865242779254,0.0183259565383195,-0.1001818999648094,seq,10.0,1721412422466017100
left,0.0244346093386411,0.0012217304902151,-0.0867428630590438,seq,11.0,1721412422479659200
left,0.0073303831741213,-0.0024434609804302,-0.0806342139840126,seq,12.0,1721412422553746800
left,0.0476474873721599,0.0146607663482427,-0.0830776765942573,seq,13.0,1721412422559100700
left,0.0280998013913631,0.0085521135479211,-0.0745255574584007,seq,14.0,1721412422580561800
left,0.0012217304902151,0.0036651915870606,-0.0574213340878486,seq,15.0,1721412422596528700
left,0.0354301854968071,0.0219911485910415,-0.0549778714776039,seq,16.0,1721412422607551200
left,0.0134390350431203,0.0158824957907199,-0.0476474873721599,seq,17.0,1721412422621005100
left,-0.0109955742955207,0.0109955742955207,-0.0390953756868839,seq,18.0,1721412422643491600
left,0.0158824957907199,0.0280998013913631,-0.0403171069920063,seq,19.0,1721412422660672000
left,0.0219911485910415,0.0293215326964855,-0.0403171069920063,seq,20.0,1721412422675774800
left,-0.0158824957907199,0.0171042270958423,-0.0317649915814399,seq,21.0,1721412422686791200
left,-0.0207694191485643,0.0097738439217209,-0.0219911485910415,seq,22.0,1721412422692792400
left,0.0146607663482427,0.0183259565383195,-0.0219911485910415,seq,23.0,1721412422705979900
left,-0.0048869219608604,0.0085521135479211,-0.0171042270958423,seq,24.0,1721412422722512900
left,-0.0268780700862407,-0.0012217304902151,-0.0219911485910415,seq,25.0,1721412422755592800
left,-0.0219911485910415,0.0012217304902151,-0.0354301854968071,seq,26.0,1721412422761178500
left,-0.0244346093386411,0.0048869219608604,-0.0293215326964855,seq,27.0,1721412422771107700
left,-0.0256563406437635,0.0061086523346602,-0.0354301854968071,seq,28.0,1721412422787037900
left,0.0012217304902151,0.0146607663482427,-0.0366519130766391,seq,29.0,1721412422797999600
left,-0.0109955742955207,0.0061086523346602,-0.0293215326964855,seq,30.0,1721412422816003100
left,-0.0232128798961639,0.0012217304902151,-0.0219911485910415,seq,31.0,1721412422830096100
