sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,Watch Time
1721412440133,left,acc,1.8315643072128296,1.7118542194366455,9.588777542114258,seq,5.0,1721412422337755100
1721412440134,left,gyro,-0.019547687843441963,-0.028099801391363144,-0.10262536257505417,seq,5.0,1721412422350968700
1721412440135,left,acc,1.8363527059555054,1.7501614093780518,9.466673851013184,seq,6.0,1721412422353947600
1721412440135,left,gyro,0.0354301854968071,0.00733038317412138,-0.07696902006864548,seq,6.0,1721412422355954000
1721412440136,left,acc,1.7573440074920654,1.802833914756775,9.402029991149902,seq,7.0,1721412422359974500
1721412440136,left,gyro,0.00366519158706069,0.004886921960860491,-0.1014036312699318,seq,7.0,1721412422368995800
1721412440137,left,acc,1.7310078144073486,1.6759412288665771,9.514557838439941,seq,8.0,1721412422374494600
1721412440137,left,gyro,-0.025656340643763542,-0.010995574295520782,-0.09285151958465576,seq,8.0,1721412422391503100
1721412440138,left,acc,1.7525556087493896,1.6855180263519287,9.428366661071777,seq,9.0,1721412422409512300
1721412440138,left,gyro,0.03176499158143997,0.00855211354792118,-0.09651670604944229,seq,9.0,1721412422417513900
1721412440269,left,acc,1.6903064250946045,1.8052281141281128,9.464279174804688,seq,10.0,1721412422463027900
1721412440270,left,gyro,0.06108652427792549,0.018325956538319588,-0.10018189996480942,seq,10.0,1721412422466017100
1721412440271,left,acc,1.8076223134994507,1.680729627609253,9.404424667358398,seq,11.0,1721412422473568600
1721412440272,left,gyro,0.024434609338641167,0.0012217304902151227,-0.08674286305904388,seq,11.0,1721412422479659200
1721412440272,left,acc,1.7764976024627686,1.6543933153152466,9.428366661071777,seq,12.0,1721412422549686500
1721412440273,left,gyro,0.00733038317412138,-0.0024434609804302454,-0.0806342139840126,seq,12.0,1721412422553746800
1721412440273,left,acc,1.8363527059555054,1.699883222579956,9.370905876159668,seq,13.0,1721412422556641600
1721412440274,left,gyro,0.04764748737215996,0.01466076634824276,-0.08307767659425735,seq,13.0,1721412422559100700
1721412440274,left,acc,1.7956513166427612,1.7190368175506592,9.351752281188965,seq,14.0,1721412422574519400
1721412440275,left,gyro,0.028099801391363144,0.00855211354792118,-0.07452555745840073,seq,14.0,1721412422580561800
1721412440275,left,acc,1.8579005002975464,1.6974890232086182,9.354146003723145,seq,15.0,1721412422591527200
1721412440275,left,gyro,0.0012217304902151227,0.00366519158706069,-0.05742133408784866,seq,15.0,1721412422596528700
1721412440276,left,acc,1.7717092037200928,1.8052281141281128,9.318233489990234,seq,16.0,1721412422603545100
1721412440277,left,gyro,0.0354301854968071,0.021991148591041565,-0.05497787147760391,seq,16.0,1721412422607551200
1721412440283,left,acc,1.8387469053268433,1.680729627609253,9.315838813781738,seq,17.0,1721412422615533900
1721412440284,left,gyro,0.013439035043120384,0.015882495790719986,-0.04764748737215996,seq,17.0,1721412422621005100
1721412440304,left,acc,1.845929503440857,1.601720929145813,9.387664794921875,seq,18.0,1721412422629485900
1721412440305,left,gyro,-0.010995574295520782,0.010995574295520782,-0.039095375686883926,seq,18.0,1721412422643491600
1721412440323,left,acc,1.8818424940109253,1.6543933153152466,9.394847869873047,seq,19.0,1721412422652505600
1721412440324,left,gyro,0.015882495790719986,0.028099801391363144,-0.0403171069920063,seq,19.0,1721412422660672000
1721412440343,left,acc,1.8195933103561401,1.7118542194366455,9.32541561126709,seq,20.0,1721412422664698900
1721412440344,left,gyro,0.021991148591041565,0.02932153269648552,-0.0403171069920063,seq,20.0,1721412422675774800
1721412440364,left,acc,1.7334020137786865,1.7046716213226318,9.363722801208496,seq,21.0,1721412422681772700
1721412440366,left,gyro,-0.015882495790719986,0.01710422709584236,-0.03176499158143997,seq,21.0,1721412422686791200
1721412440385,left,acc,1.7693150043487549,1.678335428237915,9.519346237182617,seq,22.0,1721412422689767300
1721412440386,left,gyro,-0.02076941914856434,0.009773843921720982,-0.021991148591041565,seq,22.0,1721412422692792400
1721412440404,left,acc,1.800439715385437,1.6328455209732056,9.299078941345215,seq,23.0,1721412422696965800
1721412440406,left,gyro,0.01466076634824276,0.018325956538319588,-0.021991148591041565,seq,23.0,1721412422705979900
1721412440426,left,acc,1.8315643072128296,1.6352397203445435,9.368511199951172,seq,24.0,1721412422710095600
1721412440427,left,gyro,-0.004886921960860491,0.00855211354792118,-0.01710422709584236,seq,24.0,1721412422722512900
1721412440443,left,acc,1.8339585065841675,1.6496049165725708,9.44991397857666,seq,25.0,1721412422739508200
1721412440444,left,gyro,-0.02687807008624077,-0.0012217304902151227,-0.021991148591041565,seq,25.0,1721412422755592800
1721412440463,left,acc,1.7310078144073486,1.6903064250946045,9.390059471130371,seq,26.0,1721412422759206300
1721412440466,left,gyro,-0.021991148591041565,0.0012217304902151227,-0.0354301854968071,seq,26.0,1721412422761178500
1721412440484,left,acc,1.8387469053268433,1.6903064250946045,9.437943458557129,seq,27.0,1721412422767073400
1721412440487,left,gyro,-0.024434609338641167,0.004886921960860491,-0.02932153269648552,seq,27.0,1721412422771107700
1721412440505,left,acc,1.7932571172714233,1.7334020137786865,9.44991397857666,seq,28.0,1721412422774661900
1721412440506,left,gyro,-0.025656340643763542,0.006108652334660292,-0.0354301854968071,seq,28.0,1721412422787037900
1721412440524,left,acc,1.7190368175506592,1.7812861204147339,9.48343276977539,seq,29.0,1721412422791025000
1721412440525,left,gyro,0.0012217304902151227,0.01466076634824276,-0.036651913076639175,seq,29.0,1721412422797999600
1721412440544,left,acc,1.7597382068634033,1.7717092037200928,9.433155059814453,seq,30.0,1721412422803015800
1721412440545,left,gyro,-0.010995574295520782,0.006108652334660292,-0.02932153269648552,seq,30.0,1721412422816003100
1721412440564,left,acc,1.766920804977417,1.8100165128707886,9.445125579833984,seq,31.0,1721412422825113100
1721412440566,left,gyro,-0.02321287989616394,0.0012217304902151227,-0.021991148591041565,seq,31.0,1721412422830096100
1721412440584,left,acc,1.7046716213226318,1.7166426181793213,9.459490776062012,seq,32.0,1721412422835479600
1721412440587,left,gyro,-0.00733038317412138,0.00366519158706069,-0.00855211354792118,seq,32.0,1721412422846480200
1721412440605,left,acc,1.745373010635376,1.7764976024627686,9.464279174804688,seq,33.0,1721412422848517500
1721412440606,left,gyro,-0.01466076634824276,-0.004886921960860491,-0.006108652334660292,seq,33.0,1721412422851498900
1721412440624,left,acc,1.7094600200653076,1.7501614093780518,9.390059471130371,seq,34.0,1721412422855502700
1721412440625,left,gyro,-0.009773843921720982,0.0,0.012217304669320583,seq,34.0,1721412422859522800
1721412440644,left,acc,1.6711528301239014,1.702277421951294,9.500192642211914,seq,35.0,1721412422864496400
1721412440645,left,gyro,-0.028099801391363144,-0.009773843921720982,0.01710422709584236,seq,35.0,1721412422871503300
1721412440664,left,acc,1.7501614093780518,1.6065093278884888,9.354146003723145,seq,36.0,1721412422874594000
1721412440666,left,gyro,-0.030543262138962746,-0.010995574295520782,0.02076941914856434,seq,36.0,1721412422880620100
1721412440685,left,acc,1.7286136150360107,1.6903064250946045,9.394847869873047,seq,37.0,1721412422888613000
1721412440687,left,gyro,-0.025656340643763542,-0.004886921960860491,0.02321287989616394,seq,37.0,1721412422892740600
1721412440705,left,acc,1.647210717201233,1.6735470294952393,9.44752025604248,seq,38.0,1721412422906081400
1721412440707,left,gyro,-0.018325956538319588,0.0012217304902151227,0.03298672288656235,seq,38.0,1721412422914499300
1721412440724,left,acc,1.6903064250946045,1.6711528301239014,9.488221168518066,seq,39.0,1721412422918479900
1721412440725,left,gyro,-0.03787364438176155,-0.00855211354792118,0.0354301854968071,seq,39.0,1721412422923475700
1721412440744,left,acc,1.8195933103561401,1.6927006244659424,9.306262016296387,seq,40.0,1721412422934474500
1721412440745,left,gyro,-0.045204028487205505,-0.00733038317412138,0.0403171069920063,seq,40.0,1721412422938475100
1721412440767,left,acc,1.845929503440857,1.6496049165725708,9.368511199951172,seq,41.0,1721412422951492300
1721412440768,left,gyro,-0.042760565876960754,-0.004886921960860491,0.03176499158143997,seq,41.0,1721412422954493300
1721412440786,left,acc,1.889025092124939,1.6304513216018677,9.409213066101074,seq,42.0,1721412422968499600
