OBS Stamps,Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412381333333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381366666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381400000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381433333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381466666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412381900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412381933333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412381966666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382000000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382033333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382066666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382100000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382133333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382166666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382200000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382233333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382266666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382300000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382333333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382366666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382400000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382433333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382466666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412382900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412382933333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412382966666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383000000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383033333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383066666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383100000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383133333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383166666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383200000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383233333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383266666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383300000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383333333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383366666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383400000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383433333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383466666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412383900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412383933333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412383966666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384000000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384033333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384066666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384100000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384133333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384166666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384200000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384233333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384266666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384300000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384333333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384366666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384400000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384433333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384466666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412384866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412384900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412384933333333,0.0,0,0.0,0.0,0.0,0,0.0
