OBS Stamps,Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412521133333333,1.72141252112242e+18,right,0.1771509200334549,0.3323107063770294,-0.0183259565383195,seq,5245.0
1721412521166666666,1.7214125211564306e+18,right,0.3298672437667846,0.3139847218990326,-0.0268780700862407,seq,5248.0
1721412521200000000,1.7214125211890035e+18,right,0.1783726513385772,0.3579670190811157,-0.0928515195846557,seq,5250.0
1721412521233333333,1.7214125212320374e+18,right,0.4178318381309509,0.3066543638706207,-0.1136209368705749,seq,5253.0
1721412521266666666,1.721412521248008e+18,right,0.4789183437824249,0.2907718420028686,-0.0867428630590438,seq,5254.0
1721412521300000000,1.7214125212929646e+18,right,0.4447098970413208,0.3237585723400116,-0.1197295859456062,seq,5256.0
1721412521333333333,1.721412521307999e+18,right,0.4569272100925445,0.3262020349502563,-0.1282816976308822,seq,5257.0
1721412521366666666,1.7214125213561208e+18,right,0.6609562039375305,0.2700024247169494,-0.1014036312699318,seq,5259.0
1721412521400000000,1.721412521397302e+18,right,0.6682865619659424,0.2260201424360275,-0.1270599663257599,seq,5261.0
1721412521433333333,1.7214125214193933e+18,right,0.6438519954681396,0.2235766798257827,-0.1527163088321685,seq,5262.0
1721412521466666666,1.7214125214523556e+18,right,0.8588765263557434,0.1221730485558509,-0.1502728462219238,seq,5264.0
1721412521500000000,1.7214125214951885e+18,right,1.0580185651779177,0.0232128798961639,-0.147829383611679,seq,5266.0
1721412521533333333,1.7214125215271078e+18,right,1.1301007270812988,-0.0598647929728031,-0.1624901592731475,seq,5268.0
1721412521566666666,1.721412521548185e+18,right,1.226617455482483,-0.1270599663257599,-0.130725160241127,seq,5269.0
1721412521600000000,1.7214125215939072e+18,right,1.0299187898635864,-0.1942551434040069,-0.1417207419872284,seq,5271.0
1721412521633333333,1.72141252163193e+18,right,0.8210029006004333,-0.2663372457027435,-0.1368338167667389,seq,5273.0
1721412521666666666,1.7214125216659912e+18,right,0.6951646208763123,-0.3445279896259308,-0.0977384373545646,seq,5274.0
1721412521700000000,1.721412521698766e+18,right,0.7550294399261475,-0.5497786998748779,-0.0561996027827262,seq,5276.0
1721412521733333333,1.721412521729814e+18,right,0.4337143301963806,-0.4728097021579742,-0.1624901592731475,seq,5278.0
1721412521766666666,1.7214125217497984e+18,right,0.4361577928066253,-0.4813618063926697,-0.1539380401372909,seq,5279.0
1721412521800000000,1.7214125217724954e+18,right,0.4776966273784637,-0.485027015209198,-0.1563815027475357,seq,5280.0
1721412521833333333,1.721412521814561e+18,right,0.2150245606899261,-0.3689626157283783,-0.1795943826436996,seq,5282.0
1721412521866666666,1.721412521865517e+18,right,0.4410447180271148,-0.4349360466003418,-0.0305432621389627,seq,5284.0
1721412521900000000,1.721412521893737e+18,right,0.2748893499374389,-0.4410447180271148,0.0342084541916847,seq,5286.0
1721412521933333333,1.7214125219188063e+18,right,0.2590068578720093,-0.4410447180271148,0.0794124826788902,seq,5287.0
1721412521966666666,1.7214125219498184e+18,right,0.3860668241977691,-0.5106833577156067,0.2284636050462722,seq,5289.0
1721412522000000000,1.7214125219963958e+18,right,0.3628539443016052,-0.5241223573684692,0.2492330223321914,seq,5291.0
1721412522033333333,1.7214125220284403e+18,right,0.2871066629886627,-0.485027015209198,0.2431243658065796,seq,5293.0
1721412522066666666,1.7214125220513572e+18,right,0.4642575979232788,-0.5277875661849976,0.271224170923233,seq,5294.0
1721412522100000000,1.7214125220991268e+18,right,0.5485569834709167,-0.5155702829360962,0.2883284091949463,seq,5296.0
1721412522133333333,1.7214125221311247e+18,right,0.5290092825889587,-0.442266434431076,0.2284636050462722,seq,5298.0
1721412522166666666,1.7214125221511316e+18,right,0.5119050741195679,-0.4239404797554016,0.2370157092809677,seq,5299.0
1721412522200000000,1.7214125221908e+18,right,0.4178318381309509,-0.3665191531181335,0.197920337319374,seq,5300.0
1721412522233333333,1.7214125222297595e+18,right,0.3811798989772796,-0.3139847218990326,0.1698205322027206,seq,5302.0
1721412522266666666,1.7214125222467318e+18,right,0.3543018400669098,-0.2846632003784179,0.1649336218833923,seq,5303.0
1721412522300000000,1.7214125222916493e+18,right,0.2602286040782928,-0.251676470041275,0.1734857261180877,seq,5304.0
1721412522333333333,1.7214125223256046e+18,right,0.3384193480014801,-0.2602286040782928,0.2162462919950485,seq,5306.0
1721412522366666666,1.7214125223646487e+18,right,0.4862487316131592,-0.3225368559360504,0.2638937830924988,seq,5308.0
1721412522400000000,1.7214125223984768e+18,right,0.6316346526145935,-0.3958406746387481,0.2968805134296417,seq,5309.0
1721412522433333333,1.721412522430411e+18,right,0.7415903806686401,-0.4838052690029144,0.3665191531181335,seq,5310.0
1721412522466666666,1.7214125224524961e+18,right,0.8576548099517822,-0.5876523852348328,0.4508185386657715,seq,5311.0
1721412522500000000,1.72141252248821e+18,right,0.8613200187683105,-0.6401867866516113,0.4214970171451568,seq,5312.0
1721412522533333333,1.7214125225332168e+18,right,0.5204572081565857,-0.7024950385093689,0.3274237811565399,seq,5315.0
1721412522566666666,1.721412522561284e+18,right,0.2602286040782928,-0.6352998614311218,0.2638937830924988,seq,5317.0
1721412522600000000,1.7214125225874944e+18,right,0.5326744914054871,-0.6792821288108826,0.294437050819397,seq,5319.0
1721412522633333333,1.7214125226214994e+18,right,0.5583308339118958,-0.7024950385093689,0.2785545587539673,seq,5321.0
1721412522666666666,1.7214125226636175e+18,right,0.4459316432476043,-0.6218608021736145,0.2040289938449859,seq,5324.0
1721412522700000000,1.7214125226852892e+18,right,0.3799581825733185,-0.5778785347938538,0.171042263507843,seq,5325.0
1721412522733333333,1.7214125227132823e+18,right,0.394618958234787,-0.5693264007568359,0.1466076523065567,seq,5326.0
1721412522766666666,1.7214125227455455e+18,right,0.4789183437824249,-0.5119050741195679,0.1453859210014343,seq,5328.0
1721412522800000000,1.721412522787266e+18,right,0.0806342139840126,-0.2956587672233581,0.0488692186772823,seq,5330.0
1721412522833333333,1.7214125228172634e+18,right,0.2528982162475586,-0.2675589919090271,0.0097738439217209,seq,5332.0
1721412522866666666,1.7214125228493292e+18,right,0.0952949747443199,-0.1136209368705749,-0.0342084541916847,seq,5334.0
1721412522900000000,1.7214125228770862e+18,right,0.0464257597923278,-0.0598647929728031,-0.0708603709936142,seq,5335.0
1721412522933333333,1.7214125229330934e+18,right,0.180816113948822,-0.0781907513737678,-0.0293215326964855,seq,5338.0
1721412522966666666,1.7214125229490852e+18,right,0.2076941877603531,-0.1087340116500854,-0.0048869219608604,seq,5339.0
1721412523000000000,1.7214125229918008e+18,right,0.1942551434040069,-0.1380555480718612,0.0097738439217209,seq,5341.0
1721412523033333333,1.721412523015813e+18,right,0.2467895597219467,-0.1844813078641891,0.0305432621389627,seq,5342.0
1721412523066666666,1.7214125230487314e+18,right,0.3836233615875244,-0.2651155292987823,0.1185078546404838,seq,5344.0
1721412523100000000,1.721412523094478e+18,right,0.3090978264808655,-0.2687807083129883,0.1527163088321685,seq,5346.0
1721412523133333333,1.721412523127473e+18,right,0.3591887652873993,-0.2981022298336029,0.1918116807937622,seq,5348.0
1721412523166666666,1.7214125231474724e+18,right,0.3078760802745819,-0.2724458873271942,0.1795943826436996,seq,5349.0
1721412523200000000,1.721412523197157e+18,right,0.3433062732219696,-0.251676470041275,0.1905899494886398,seq,5351.0
1721412523233333333,1.72141252321617e+18,right,0.3640756905078888,-0.2638937830924988,0.2101376503705978,seq,5352.0
1721412523266666666,1.7214125232662239e+18,right,0.3958406746387481,-0.2834414839744568,0.2419026345014572,seq,5355.0
1721412523300000000,1.7214125232869366e+18,right,0.4630358517169952,-0.3262020349502563,0.2577851414680481,seq,5356.0
1721412523333333333,1.7214125233109957e+18,right,0.4410447180271148,-0.3310889601707458,0.2907718420028686,seq,5357.0
1721412523366666666,1.7214125233550244e+18,right,0.3359758853912353,-0.3139847218990326,0.2553416788578033,seq,5359.0
1721412523400000000,1.721412523386709e+18,right,0.4337143301963806,-0.3543018400669098,0.2748893499374389,seq,5361.0
1721412523433333333,1.7214125234295923e+18,right,0.3494149148464203,-0.3017674386501312,0.271224170923233,seq,5363.0
1721412523466666666,1.7214125234517076e+18,right,0.3384193480014801,-0.2956587672233581,0.2602286040782928,seq,5364.0
1721412523500000000,1.7214125234846213e+18,right,0.3335324227809906,-0.3054326176643371,0.2394591718912124,seq,5365.0
